ID,Title,Code,Fully Specified Name,Definition
http://id.who.int/icd/release/11/2023-01/mms/257068234,Cholera,1A00,Intestinal infection due to Vibrio cholerae,"Cholera is a potentially epidemic and life-threatening infection of the intestine, characterised by extreme watery (secretory) diarrhoea often accompanied by vomiting, with rapid depletion of body fluids and salt that may result in hypovolemic shock and acidosis. Cholera outbreaks are caused by toxigenic strains of Vibrio cholerae serogroups O1 and O139. Serogroup O1 has two biovars; classical and eltor. Vibrio cholerae O1, biovar cholerae is classical type. Vibrio cholerae O1, biovar eltor is eltor type."
http://id.who.int/icd/release/11/2023-01/mms/416025325,Intestinal infection due to other Vibrio,1A01,,
http://id.who.int/icd/release/11/2023-01/mms/2080365623,Intestinal infections due to Shigella,1A02,,"A disease caused by an infection with the gram-negative bacteria genus Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample."
http://id.who.int/icd/release/11/2023-01/mms/2099226249,Enteropathogenic Escherichia coli infection,1A03.0,,"An infection of the gastrointestinal system, caused by the gram-negative bacteria Escherichia coli. It is characterised by acute, profuse, watery diarrhoea. Transmission is by the faecal-oral route from contaminated food, water, or fomites. Confirmation is by identification of the Escherichia coli in a faecal sample."
http://id.who.int/icd/release/11/2023-01/mms/408185629,Enterotoxigenic Escherichia coli infection,1A03.1,,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute, watery diarrhoea due to toxins released from the bacteria. Transmission is by the faecal-oral route from ingestion of contaminated food, water, or fomites. Confirmation is by identification of the Escherichia coli in faecal sample."
http://id.who.int/icd/release/11/2023-01/mms/1828273122,Enteroinvasive Escherichia coli infection,1A03.2,,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute and profuse diarrhoea (that may be haemorrhagic), fever, and abdominal cramps. Transmission is by the faecal-oral route from ingestion of contaminated food or water. Confirmation is by identification of the Escherichia coli in a faecal sample."
http://id.who.int/icd/release/11/2023-01/mms/162723448,Enterohaemorrhagic Escherichia coli infection,1A03.3,,
http://id.who.int/icd/release/11/2023-01/mms/344162786/other,Intestinal infections due to other specified Escherichia coli,1A03.Y,,
http://id.who.int/icd/release/11/2023-01/mms/344162786/unspecified,"Intestinal infections due to Escherichia coli, unspecified",1A03.Z,,
http://id.who.int/icd/release/11/2023-01/mms/344162786,Intestinal infections due to Escherichia coli,1A03,,"Any condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli."
http://id.who.int/icd/release/11/2023-01/mms/250688797,Intestinal infections due to Clostridioides difficile,1A04,,"A disease of the colon, caused by an infection with the gram-positive bacteria Clostridioides difficile (formerly known as Clostridium difficile). This disease is characterised by colitis, diarrhoea, abdominal pain, and fever. Transmission is commonly by direct or indirect contact, or from a disturbance of the normal bacterial flora of the colon. Confirmation is by identification of Clostridioides difficile in a faecal sample."
http://id.who.int/icd/release/11/2023-01/mms/1000894786,Intestinal infections due to Yersinia enterocolitica,1A05,,"A disease of the intestinal tract, caused by an infection with the gram-negative bacteria Yersinia enterocolitica. This disease commonly presents with a fever, diarrhoea, or abdominal pain. This disease may also lead to a systemic infection. Transmission is by the faecal-oral route from the ingestion of contaminated food or water, or direct contact with infected individuals or animal. Confirmation is by identification of Yersinia enterocolitica in a faecal sample."
http://id.who.int/icd/release/11/2023-01/mms/794462570,Gastroenteritis due to Campylobacter,1A06,,
http://id.who.int/icd/release/11/2023-01/mms/364534567,Typhoid peritonitis,1A07.0,,
http://id.who.int/icd/release/11/2023-01/mms/1528414070/other,Other specified typhoid fever,1A07.Y,,
http://id.who.int/icd/release/11/2023-01/mms/1528414070/unspecified,"Typhoid fever, unspecified",1A07.Z,,
http://id.who.int/icd/release/11/2023-01/mms/1528414070,Typhoid fever,1A07,,"A condition caused by an infection with the gram-negative bacteria Salmonella typhi. This condition is characterised by an acute sustained fever. This condition may present with weakness, stomach pains, headache, loss of appetite, or flat, rose-coloured spots. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Salmonella typhi in a faecal or blood sample."
http://id.who.int/icd/release/11/2023-01/mms/1780040028,Paratyphoid fever,1A08,,"A condition caused by an infection with the gram-negative bacteria Salmonella paratyphi. This condition is characterised by an acute sustained fever. The individual may feel weak, have stomach pains, headache, loss of appetite, or a rash of flat, rose-coloured spots. Transmission is by ingestion of contaminated food or water. Confirmation is by identification of Salmonella paratyphi in a faecal or blood sample."
http://id.who.int/icd/release/11/2023-01/mms/1520312138,Salmonella enteritis,1A09.0,,"This refers to inflammation of the small intestine due to infection with bacteria of the genus Salmonella, a member of the family Enterobacteriaceae. Bacteria of the genus Salmonella are rod-shaped, Gram-negative, non-spore-forming and predominantly motile."
http://id.who.int/icd/release/11/2023-01/mms/515117475/other,Infections due to other Salmonella in other organs,1A09.Y,,
http://id.who.int/icd/release/11/2023-01/mms/515117475/unspecified,"Salmonella infection, unspecified",1A09.Z,,
http://id.who.int/icd/release/11/2023-01/mms/515117475,Infections due to other Salmonella,1A09,,
http://id.who.int/icd/release/11/2023-01/mms/135352227/other,Other specified bacterial intestinal infections,1A0Y,,
http://id.who.int/icd/release/11/2023-01/mms/135352227/unspecified,"Bacterial intestinal infections, unspecified",1A0Z,,
http://id.who.int/icd/release/11/2023-01/mms/135352227,Bacterial intestinal infections,,,"Any condition of the intestines, caused by an infection with a bacterial source."
http://id.who.int/icd/release/11/2023-01/mms/1642556936,Foodborne staphylococcal intoxication,1A10,,
http://id.who.int/icd/release/11/2023-01/mms/2033726602,Foodborne intoxication by botulinum toxin,1A11.0,Foodborne Clostridium botulinum toxin intoxication,
http://id.who.int/icd/release/11/2023-01/mms/1393712712,Other forms of botulism,1A11.1,,
http://id.who.int/icd/release/11/2023-01/mms/78422942/unspecified,"Botulism, unspecified",1A11.Z,,
http://id.who.int/icd/release/11/2023-01/mms/78422942,Botulism,1A11,,"A disease caused by an infection with the gram-positive bacteria Clostridium botulinum. This disease commonly presents with abdominal pain, vomiting, acute paralysis, blurred vision, diplopia, and may be fatal. Transmission is by ingestion of contaminated food, direct contact, or from accidental overdose. Confirmation is by identification of Clostridium botulinum in a faecal or food sample."
http://id.who.int/icd/release/11/2023-01/mms/1879176035,Foodborne Clostridium perfringens intoxication,1A12,,
